,0
847,NA1_4296795226
848,NA1_4294522672
849,NA1_4297452672
850,NA1_4296131367
851,NA1_4298181720
852,NA1_4295508796
853,NA1_4288061006
854,NA1_4297723217
855,NA1_4296225733
856,NA1_4297927971
857,NA1_4293442715
858,NA1_4295741837
859,NA1_4292307069
860,NA1_4296415615
861,NA1_4298271482
862,NA1_4291418768
863,NA1_4298184436
864,NA1_4293678399
865,NA1_4294939954
866,NA1_4298095584
867,NA1_4297781813
868,NA1_4288700524
869,NA1_4292655773
870,NA1_4295468966
871,NA1_4298153548
872,NA1_4291131735
873,NA1_4286843863
874,NA1_4297027682
875,NA1_4298125029
876,NA1_4290699619
877,NA1_4296796955
878,NA1_4295602566
879,NA1_4296440910
880,NA1_4296139569
881,NA1_4296821359
882,NA1_4296023285
883,NA1_4295835703
884,NA1_4297999707
885,NA1_4297671060
886,NA1_4292037976
887,NA1_4298320950
888,NA1_4289610178
889,NA1_4297011259
890,NA1_4297572816
891,NA1_4297223553
892,NA1_4298100100
893,NA1_4297558864
894,NA1_4288136878
895,NA1_4293739627
896,NA1_4287582679
897,NA1_4295980760
898,NA1_4293688203
899,NA1_4292821311
900,NA1_4297842060
901,NA1_4293459303
902,NA1_4296926520
903,NA1_4294797659
904,NA1_4289393333
905,NA1_4294790664
906,NA1_4293513606
907,NA1_4292415927
908,NA1_4284738693
909,NA1_4295435255
910,NA1_4298065508
911,NA1_4293236478
912,NA1_4295815732
913,NA1_4297922244
914,NA1_4296135111
915,NA1_4294026856
916,NA1_4295982725
917,NA1_4298265978
918,NA1_4287652688
919,NA1_4296829141
920,NA1_4293447801
921,NA1_4296733511
922,NA1_4288947002
923,NA1_4297959524
924,NA1_4298355610
925,NA1_4295437447
926,NA1_4289642912
927,NA1_4292465228
928,NA1_4296335272
929,NA1_4298096834
930,NA1_4296562388
931,NA1_4297934621
932,NA1_4289915586
933,NA1_4284448734
934,NA1_4291499609
935,NA1_4295711720
936,NA1_4298410154
937,NA1_4295466820
938,NA1_4298178708
939,NA1_4298023976
940,NA1_4291061068
941,NA1_4298317363
942,NA1_4295938440
943,NA1_4297978010
944,NA1_4296967143
945,NA1_4293182040
946,NA1_4297620327
947,NA1_4294033817
948,NA1_4290469941
949,NA1_4291149747
950,NA1_4295965080
951,NA1_4296392524
952,NA1_4297594908
953,NA1_4291084612
954,NA1_4296825765
955,NA1_4298084694
956,NA1_4298298371
957,NA1_4298221815
958,NA1_4296954792
959,NA1_4290451949
960,NA1_4298051238
961,NA1_4293567780
962,NA1_4295539765
963,NA1_4293795715
964,NA1_4293429642
965,NA1_4297703449
966,NA1_4297989182
967,NA1_4291401299
968,NA1_4298044289
969,NA1_4291475560
970,NA1_4298097045
971,NA1_4297187901
972,NA1_4295668480
973,NA1_4290857785
974,NA1_4296622573
975,NA1_4293133054
976,NA1_4297609799
977,NA1_4295142451
978,NA1_4296553337
979,NA1_4297535674
980,NA1_4297599363
981,NA1_4293335110
982,NA1_4298242760
983,NA1_4289258596
984,NA1_4295787973
985,NA1_4297842507
986,NA1_4288833382
987,NA1_4296242378
988,NA1_4297012284
989,NA1_4292113852
990,NA1_4298290851
991,NA1_4296431847
992,NA1_4295893373
993,NA1_4291938075
994,NA1_4292192937
995,NA1_4298357599
996,NA1_4297518379
997,NA1_4297202464
998,NA1_4291327492
999,NA1_4295759878
1000,NA1_4293557469
1001,NA1_4291988234
1002,NA1_4294481653
1003,NA1_4296460579
1004,NA1_4289113582
1005,NA1_4297894696
1006,NA1_4289743532
1007,NA1_4298391588
1008,NA1_4297566552
1009,NA1_4296634519
1010,NA1_4296715291
1011,NA1_4288094462
1012,NA1_4290692301
1013,NA1_4294240454
1014,NA1_4294463096
1015,NA1_4297097507
1016,NA1_4290891598
1017,NA1_4287149462
1018,NA1_4288068429
1019,NA1_4292985246
1020,NA1_4297642798
1021,NA1_4291167727
1022,NA1_4291576188
1023,NA1_4295366988
1024,NA1_4284299210
1025,NA1_4291762141
1026,NA1_4296571528
1027,NA1_4295939672
1028,NA1_4288913421
1029,NA1_4293658027
1030,NA1_4294457244
1031,NA1_4286007688
1032,NA1_4294126157
1033,NA1_4298244206
1034,NA1_4296782566
1035,NA1_4298000401
1036,NA1_4288928737
1037,NA1_4294247187
1038,NA1_4291460487
1039,NA1_4291400354
1040,NA1_4293452286
1041,NA1_4297915211
1042,NA1_4286004950
1043,NA1_4292085655
1044,NA1_4297649832
1045,NA1_4287228268
1046,NA1_4293173213
1047,NA1_4297992574
1048,NA1_4298088379
1049,NA1_4298131428
1050,NA1_4288481481
1051,NA1_4294192630
1052,NA1_4298050753
1053,NA1_4289753368
1054,NA1_4296597661
1055,NA1_4294743173
1056,NA1_4288128919
1057,NA1_4293505804
1058,NA1_4289108052
1059,NA1_4288863855
1060,NA1_4287947864
1061,NA1_4296084575
1062,NA1_4291127428
1063,NA1_4297029288
1064,NA1_4295530052
1065,NA1_4295532082
1066,NA1_4293572088
1067,NA1_4297850886
1068,NA1_4290805435
1069,NA1_4288997621
1070,NA1_4293531368
1071,NA1_4294363098
1072,NA1_4296442913
1073,NA1_4290243384
1074,NA1_4298159470
1075,NA1_4287174626
1076,NA1_4291189882
1077,NA1_4298311371
1078,NA1_4298317217
1079,NA1_4298211681
1080,NA1_4288776989
1081,NA1_4295841059
1082,NA1_4296580866
1083,NA1_4298191601
1084,NA1_4291354870
1085,NA1_4296701795
1086,NA1_4298390891
1087,NA1_4292363201
1088,NA1_4297491795
1089,NA1_4294535268
1090,NA1_4295569034
1091,NA1_4286785256
1092,NA1_4289030436
1093,NA1_4297168760
1094,NA1_4297102196
1095,NA1_4292808642
1096,NA1_4297987018
1097,NA1_4293386822
1098,NA1_4292095964
1099,NA1_4297046892
1100,NA1_4296815903
1101,NA1_4294099685
1102,NA1_4288107735
1103,NA1_4297741609
1104,NA1_4289986890
1105,NA1_4296390490
1106,NA1_4295669483
1107,NA1_4298050596
1108,NA1_4296365410
1109,NA1_4296652373
1110,NA1_4295815433
1111,NA1_4298020428
1112,NA1_4292868439
1113,NA1_4298103809
1114,NA1_4289719794
1115,NA1_4297562266
1116,NA1_4295529080
1117,NA1_4298080242
1118,NA1_4291455933
1119,NA1_4294755934
1120,NA1_4296481132
1121,NA1_4298160329
1122,NA1_4292640342
1123,NA1_4292362137
1124,NA1_4293908871
1125,NA1_4296576262
1126,NA1_4289554371
1127,NA1_4297826848
1128,NA1_4296909805
1129,NA1_4293748238
1130,NA1_4297768983
1131,NA1_4294281263
1132,NA1_4296933354
1133,NA1_4296717770
1134,NA1_4285258845
1135,NA1_4291987889
1136,NA1_4285795803
1137,NA1_4290649290
1138,NA1_4296851051
1139,NA1_4294739740
1140,NA1_4298264991
1141,NA1_4295889054
1142,NA1_4296136887
1143,NA1_4291675587
1144,NA1_4297693568
1145,NA1_4294196750
1146,NA1_4294975587
1147,NA1_4295407524
1148,NA1_4296440030
1149,NA1_4295269588
1150,NA1_4296898384
1151,NA1_4296815551
1152,NA1_4297736524
1153,NA1_4295366594
1154,NA1_4291598402
1155,NA1_4285669737
1156,NA1_4289377334
1157,NA1_4296365748
1158,NA1_4297106806
1159,NA1_4297659470
